date,region,campaign,spend,clicks,conversions
2026-01-05,North,Search Growth,85000,2400,110
2026-01-12,South,Search Growth,62000,1700,78
2026-01-19,West,Social Retargeting,58000,1600,72
2026-01-26,North,Social Retargeting,76000,2200,100
2026-02-02,South,Search Growth,65000,1750,82
2026-02-09,West,Search Growth,60000,1650,76
2026-02-16,North,Brand Push,90000,2500,116
2026-02-23,South,Social Retargeting,64000,1740,81
2026-03-02,West,Brand Push,62000,1680,78
2026-03-09,North,Search Growth,92000,2550,118
2026-03-16,South,Brand Push,67000,1800,84
2026-03-23,West,Social Retargeting,63000,1700,79
2026-04-06,North,Search Growth,96000,2480,82
2026-04-13,South,Search Growth,72000,1780,70
2026-04-20,West,Social Retargeting,70000,1660,66
2026-04-27,North,Social Retargeting,98000,2420,76
2026-05-04,South,Search Growth,74000,1760,68
2026-05-11,West,Search Growth,72000,1640,63
2026-05-18,North,Brand Push,104000,2380,70
2026-05-25,South,Social Retargeting,76000,1740,66
2026-06-01,West,Brand Push,73000,1600,60
2026-06-08,North,Search Growth,108000,2360,66
2026-06-15,South,Brand Push,78000,1720,64
2026-06-22,West,Social Retargeting,75000,1580,58
